date;location;description;sun;rep;distance;scene;row;mean;sd;mode;min;max;slice
10-08-15;A;sun in face;face;1;5;background;12;135,7;1,3;136;132;140;6
10-08-15;A;sun in face;face;1;4;foreground;13;129,7;4,2;126;118;150;7
10-08-15;A;sun in face;face;1;4;background;14;145,2;1,2;145;142;149;7
10-08-15;A;sun in face;face;1;3;foreground;15;117,9;6,7;112;102;140;8
10-08-15;A;sun in face;face;1;3;background;16;148,0;1,3;148;142;152;8
10-08-15;A;sun in face;face;1;2;foreground;17;103,0;11,4;93;79;150;9
10-08-15;A;sun in face;face;1;2;background;18;136,6;1,3;137;133;141;9
10-08-15;A;sun in face;face;1;1;foreground;19;95,4;16,4;81;58;174;10
10-08-15;A;sun in face;face;1;1;background;20;149,6;1,4;150;143;154;10
10-08-15;A;sun in face;face;2;10;foreground;1;143,2;1,3;143;138;149;1
10-08-15;A;sun in face;face;2;10;background;2;142,0;1,3;142;139;146;1
10-08-15;A;sun in face;face;2;9;foreground;3;139,6;1,2;139;135;145;2
10-08-15;A;sun in face;face;2;9;background;4;139,0;1,2;139;135;144;2
10-08-15;A;sun in face;face;2;8;foreground;5;141,0;1,2;141;136;149;3
10-08-15;A;sun in face;face;2;8;background;6;142,1;1,2;142;138;146;3
10-08-15;A;sun in face;face;2;7;foreground;7;130,5;2,0;129;124;136;4
10-08-15;A;sun in face;face;2;7;background;8;135,5;1,7;135;131;140;4
10-08-15;A;sun in face;face;2;6;foreground;9;135,9;2,9;134;129;145;5
10-08-15;A;sun in face;face;2;6;background;10;144,4;1,3;145;141;148;5
10-08-15;A;sun in face;face;2;5;foreground;11;131,1;3,7;128;119;144;6
10-08-15;A;sun in face;face;2;5;background;12;141,6;1,2;142;137;146;6
10-08-15;A;sun in face;face;2;4;foreground;13;128,3;4,0;126;118;149;7
10-08-15;A;sun in face;face;2;4;background;14;142,6;1,3;142;139;148;7
10-08-15;A;sun in face;face;2;3;foreground;15;120,5;5,7;116;106;144;8
10-08-15;A;sun in face;face;2;3;background;16;147,5;1,1;147;145;152;8
10-08-15;A;sun in face;face;2;2;foreground;17;110,6;10,4;104;89;166;9
10-08-15;A;sun in face;face;2;2;background;18;142,3;1,3;142;139;147;9
10-08-15;A;sun in face;face;2;1;foreground;19;97,0;17,2;82;62;175;10
10-08-15;A;sun in face;face;2;1;background;20;151,9;1,5;151;148;159;10
10-08-15;A;sun in face;face;3;10;foreground;1;150,1;1,1;150;147;154;1
10-08-15;A;sun in face;face;3;10;background;2;149,7;1,1;150;145;153;1
10-08-15;A;sun in face;face;3;9;foreground;3;139,3;1,3;139;135;145;2
10-08-15;A;sun in face;face;3;9;background;4;139,5;1,3;140;135;144;2
10-08-15;A;sun in face;face;3;8;foreground;5;134,5;1,6;134;130;141;3
10-08-15;A;sun in face;face;3;8;background;6;137,0;1,3;137;133;140;3
10-08-15;A;sun in face;face;3;7;foreground;7;132,3;1,8;132;126;139;4
10-08-15;A;sun in face;face;3;7;background;8;137,1;1,1;137;133;141;4
10-08-15;A;sun in face;face;3;6;foreground;9;132,3;2,0;131;126;141;5
10-08-15;A;sun in face;face;3;6;background;10;141,2;1,3;141;137;146;5
10-08-15;A;sun in face;face;3;5;foreground;11;134,6;3,2;133;126;147;6
10-08-15;A;sun in face;face;3;5;background;12;146,4;1,1;146;143;150;6
10-08-15;A;sun in face;face;3;4;foreground;13;127,1;4,6;123;117;149;7
10-08-15;A;sun in face;face;3;4;background;14;141,7;1,3;142;138;145;7
10-08-15;A;sun in face;face;3;3;foreground;15;131,1;6,1;126;116;180;8
10-08-15;A;sun in face;face;3;3;background;16;151,1;1,4;151;147;157;8
10-08-15;A;sun in face;face;3;2;foreground;17;107,3;8,6;100;85;157;9
10-08-15;A;sun in face;face;3;2;background;18;139,5;1,4;139;135;145;9
10-08-15;A;sun in face;face;3;1;foreground;19;91,5;18,3;79;51;180;10
10-08-15;A;sun in face;face;3;1;background;20;163,2;1,2;163;158;172;10
11-08-15;B;blue staghorn;back;1;10;foreground;1;114,4;1,4;114;108;120;1
11-08-15;B;blue staghorn;back;1;10;background;2;113,7;1,1;114;110;118;1
11-08-15;B;blue staghorn;back;1;9;foreground;3;121,2;1,9;121;116;126;2
11-08-15;B;blue staghorn;back;1;9;background;4;120,9;1,1;121;117;125;2
11-08-15;B;blue staghorn;back;1;8;foreground;5;120,5;2,4;119;113;128;3
11-08-15;B;blue staghorn;back;1;8;background;6;119,2;1,3;119;115;124;3
11-08-15;B;blue staghorn;back;1;7;foreground;7;122,9;3,9;121;114;151;4
11-08-15;B;blue staghorn;back;1;7;background;8;119,2;1,7;119;114;125;4
11-08-15;B;blue staghorn;back;1;6;foreground;9;112,6;2,8;111;102;130;5
11-08-15;B;blue staghorn;back;1;6;background;10;110,6;1,3;111;105;119;5
11-08-15;B;blue staghorn;back;1;5;foreground;11;109,8;3,3;109;98;140;6
11-08-15;B;blue staghorn;back;1;5;background;12;109,8;1,7;109;105;120;6
11-08-15;B;blue staghorn;back;1;4;foreground;13;104,7;4,3;103;88;138;7
11-08-15;B;blue staghorn;back;1;4;background;14;106,4;1,5;106;101;115;7
11-08-15;B;blue staghorn;back;1;3;foreground;15;100,6;6,6;97;77;148;8
11-08-15;B;blue staghorn;back;1;3;background;16;106,5;1,5;106;101;116;8
11-08-15;B;blue staghorn;back;1;2;foreground;17;89,9;9,8;82;62;155;9
11-08-15;B;blue staghorn;back;1;2;background;18;101,3;1,5;102;95;107;9
11-08-15;B;blue staghorn;back;1;1;foreground;19;82,5;15,8;68;41;171;10
11-08-15;B;blue staghorn;back;1;1;background;20;102,9;1,5;103;98;111;10
11-08-15;B;blue staghorn;back;2;10;foreground;1;124,6;2,0;124;119;133;1
11-08-15;B;blue staghorn;back;2;10;background;2;123,3;1,4;124;118;131;1
11-08-15;B;blue staghorn;back;2;9;foreground;3;123,6;1,8;123;118;130;2
11-08-15;B;blue staghorn;back;2;9;background;4;119,4;1,2;119;115;124;2
11-08-15;B;blue staghorn;back;2;8;foreground;5;125,4;2,5;124;118;139;3
11-08-15;B;blue staghorn;back;2;8;background;6;122,1;1,2;122;119;127;3
11-08-15;B;blue staghorn;back;2;7;foreground;7;122,5;2,9;121;114;133;4
11-08-15;B;blue staghorn;back;2;7;background;8;117,9;1,2;118;114;127;4
11-08-15;B;blue staghorn;back;2;6;foreground;9;118,8;7,4;115;105;154;5
11-08-15;B;blue staghorn;back;2;6;background;10;112,5;1,2;113;107;118;5
11-08-15;B;blue staghorn;back;2;5;foreground;11;112,6;4,0;111;93;149;6
11-08-15;B;blue staghorn;back;2;5;background;12;109,5;1,8;109;101;138;6
11-08-15;B;blue staghorn;back;2;4;foreground;13;107,4;6,0;105;87;161;7
11-08-15;B;blue staghorn;back;2;4;background;14;107,2;1,6;107;103;118;7
11-08-15;B;blue staghorn;back;2;3;foreground;15;101,9;9,1;96;77;179;8
11-08-15;B;blue staghorn;back;2;3;background;16;105,7;1,4;106;99;117;8
11-08-15;B;blue staghorn;back;2;2;foreground;17;92,1;11,4;82;59;167;9
11-08-15;B;blue staghorn;back;2;2;background;18;101,2;1,3;101;96;106;9
11-08-15;B;blue staghorn;back;2;1;foreground;19;84,6;18,3;67;40;199;10
11-08-15;B;blue staghorn;back;2;1;background;20;100,8;1,3;101;96;106;10
11-08-15;B;blue staghorn;back;3;10;foreground;1;127,4;2,1;128;120;134;1
11-08-15;B;blue staghorn;back;3;10;background;2;124,0;1,2;124;119;128;1
