type;animal.id;order;stimulus.type;stimulus.direction;stimulus.name;date;batch;used.before;animal.diameter;no.arms;regen.arms;initial.heading;start.frame;final.heading;stop.frame;touch;Notes
Centred black rectangles;79;3;6.27 C;2;5°;;;;;;;-154,3;16;157,3;38;grey;
Centred black rectangles;80;1;75.2 C;3;43°;2015-07-21;Week 29;no;24,8;16;0;-0,9;81;-0,7;100;black;
Centred black rectangles;80;2;25.07 C;4;18°;;;;;;;-71,3;157;-66,8;177;grey;
Centred black rectangles;80;3;white;5;37°;;;;;;;-66,6;13;-52,5;35;grey;
Centred black rectangles;81;1;12.53 C;2;9°;2015-07-21;Week 29;no;21,1;17;1;176,9;15;165,6;52;grey;
Centred black rectangles;81;2;6.27 C;3;5°;;;;;;;1,4;27;73,6;64;grey;
Centred black rectangles;81;3;75.2 C;5;43°;;;;;;;2,0;15;41,3;46;grey;Animal turned away from target. Because of white?
Centred black rectangles;82;1;25.07 C;1;18°;2015-07-21;Week 29;no;23,0;16;0;35,8;21;117,5;61;grey;Accidentally wounded animal on collection.
Centred black rectangles;82;2;white;2;37°;;;;;;;131,9;21;81,8;58;grey;
Centred black rectangles;82;3;50.13 C;4;32°;;;;;;;-49,3;19;-149,9;69;grey;
Centred black rectangles;83;1;6.27 C;4;5°;2015-07-21;Week 29;no;43,3;16;0;129,6;97;127,5;112;grey;
Centred black rectangles;83;2;75.2 C;5;43°;;;;;;;34,4;104;23,6;116;white;Accidentally wounded animal when moving animal between experiments.
Centred black rectangles;83;3;25.07 C;3;18°;;;;;;;-11,7;122;-2,9;137;black;
Centred black rectangles;84;1;white;4;37°;2015-07-21;Week 29;no;15,0;15;0;145,6;22;131,8;76;grey;Reoriented animal. Two sequences..
Centred black rectangles;84;2;50.13 C;2;32°;;;;;;;-59,0;12;-4,8;60;black;
Centred black rectangles;84;3;12.53 C;3;9°;;;;;;;78,4;11;100,5;53;grey;
Centred black rectangles;85;1;75.2 C;4;43°;2015-07-22;Week 29;no;23,3;16;4;-20,8;126;-10,7;160;black;"Animal did not respond, took new animal.
Arms closest to stimulus tried to gain dominance.
Very accurate animal."
Centred black rectangles;85;2;25.07 C;5;18°;;;;;;;99,9;95;141,4;143;grey;
Centred black rectangles;85;3;white;1;37°;;;;;;;81,9;48;90,9;100;grey;
Centred black rectangles;86;1;50.13 C;4;32°;2015-07-22;Week 29;no;26,9;16;0;-45,0;18;-35,0;61;grey;Accidentally recorded video instead of time-series.
Centred black rectangles;86;2;12.53 C;5;9°;;;;;;;-13,0;15;6,0;39;plexiglass;Accidentally recorded video instead of time-series.
Centred black rectangles;86;3;6.27 C;1;5°;;;;;;;-20,0;11;-12,0;31;plexiglass;Accidentally recorded video instead of time-series.
Centred black rectangles;87;1;75.2 C;2;43°;2015-07-22;Week 29;no;22,8;14;0;149,9;20;167,1;45;grey;
Centred black rectangles;87;2;25.07 C;3;18°;;;;;;;86,3;26;105,0;50;grey;
Centred black rectangles;87;3;50.13 C;1;32°;;;;;;;-23,3;9;-39,5;32;grey;
Centred black rectangles;88;1;12.53 C;2;9°;2015-07-22;Week 29;yes;17,7;13;0;156,0;23;149,1;49;grey;
Centred black rectangles;88;2;6.27 C;3;5°;;;;;;;123,0;26;130,4;53;grey;
Centred black rectangles;88;3;75.2 C;4;43°;;;;;;;139,8;26;-148,3;57;grey;
Centred black rectangles;89;1;white;5;37°;2015-07-22;Week 29;yes;19,5;18;0;-120,5;61;-151,1;106;grey;
Centred black rectangles;89;2;50.13 C;3;32°;;;;;;;109,1;31;140,0;84;grey;
Centred black rectangles;89;3;12.53 C;4;9°;;;;;;;-89,4;45;76,4;93;grey;
Centred black rectangles;90;1;6.27 C;5;5°;2015-07-22;Week 29;no;33,5;16;0;136,1;49;144,3;78;grey;
Centred black rectangles;90;2;75.2 C;1;43°;;;;;;;-4,7;37;-7,5;55;black;
Centred black rectangles;90;3;25.07 C;2;18°;;;;;;;22,7;98;33,3;122;plexiglass;
