DATE CREATED,,,,,
2016-04-18T10:38:41+10:00,,,,,
,,,,,
ATTRIBUTION,,,,,
http://www.aims.gov.au/docs/cc-attribution.html,,,,,
,,,,,
DISCLAIMER,,,,,
http://www.aims.gov.au/docs/disclaimer.html,,,,,
,,,,,
PRIVACY,,,,,
http://www.aims.gov.au/docs/privacy-policy.html,,,,,
,,,,,
COPYRIGHT,,,,,
http://www.aims.gov.au/docs/cc-copyright.html,,,,,
,,,,,
COMMENT,,,,,
"These data are provided by this web service under a Creative Commons License.  Please read the copyright statement and attribute AIMS according to the attribution information above.  All or some data delivered by this service may be provided by a third party and should also be attributed.  The ownership of data will be associated with the deployment information in the data.  If no ownership is supplied, AIMS is the implied owner. ",,,,,
,,,,,
SENSOR DEFINITIONS,,,,,
MEA2173 SDI-12 Smart Temperature Sensor 558,,,,,
,,,,,
UOM DEFINITIONS,,,,,
Degrees Celsius,,,,,
,,,,,
STATION,,,,,
Lizard Island,,,,,
LATITUDE,,,,,
-14.694067,,,,,
28-DEC,11,28.76076193181818,28.471319444444443,28.5768125,28.632211805555556
18-JAN,9,28.69663425925926,,,
12-MAR,7,28.810178273809523,,,
23-MAR,8,28.396314583333332,,,
08-APR,8,28.0643484375,,,
09-MAY,9,26.487175,,,
16-MAY,9,26.196765509259258,,,
22-MAY,9,26.025047222222224,,,
27-AUG,10,24.033244258872653,,,
15-SEP,10,24.7696075,,,
16-SEP,10,24.752014791666667,,,
26-OCT,10,26.246254375,,,
07-MAR,7,28.73489255952381,,,
09-MAR,7,28.86839732142857,,,
11-SEP,10,24.73878708333333,,,
23-OCT,10,26.153619791666667,,,
30-OCT,10,26.589584583333334,,,
03-FEB,9,29.31680162037037,,,
18-FEB,9,29.169767592592592,,,
10-APR,8,27.919319010416668,,,
19-JUN,9,24.724480324074076,,,
25-JUL,10,23.744693125,,,
18-DEC,11,28.247955303030302,,,
27-JAN,9,29.094720881670533,,,
12-NOV,10,27.09481586638831,,,
14-FEB,9,29.26817819025522,,,
06-MAY,9,26.58528207070707,,,
03-JUN,9,25.429321527777777,,,
04-OCT,10,25.386408333333332,,,
28-OCT,10,26.456396041666668,,,
21-NOV,10,27.455659791666665,,,
26-DEC,11,28.56265475285171,,,
07-OCT,10,25.5060121085595,,,
12-SEP,10,24.743731458333333,,,
29-NOV,10,27.552777338877338,,,
07-MAY,9,26.555971296296295,,,
19-FEB,9,29.178894663573086,,,
20-MAY,9,26.124886805555555,,,
10-FEB,9,29.23933449074074,,,
21-MAR,8,28.394578645833334,,,
03-OCT,10,25.3690425,,,
11-AUG,10,23.716559081419625,,,
01-APR,8,28.206651822916665,,,
03-MAY,8,26.800865625,,,
29-JUL,10,23.820293333333332,,,
28-JUN,9,24.248904629629628,,,
21-JUL,10,23.76230814196242,,,
25-JAN,9,28.85162384259259,,,
30-JAN,9,29.30351252900232,,,
01-FEB,9,29.352119675925927,,,
