Unit Serial No : 240-IM0P2868-EU
Integration Time : 50 ms
Time Average: 20
Binning Average: 0
FFT Smoothing: 0%
Project Name : ILT900W-Irradiance 
Sample Name :  ILT900W2868
Measurement No : 1
Measurement Time : 10/19/2015   13:41:17

Wavelength(nm)	Wavenumber(1/cm)	Transmittance(%)
585.0000      	17094.0171    	0.32805       
586.0000      	17064.8464    	0.39956       
587.0000      	17035.7751    	0.17345       
588.0000      	17006.8027    	0.14957       
589.0000      	16977.9287    	0.14013       
590.0000      	16949.1525    	0.14379       
591.0000      	16920.4738    	0.15967       
592.0000      	16891.8919    	0.09852       
593.0000      	16863.4064    	0.09903       
594.0000      	16835.0168    	0.10731       
595.0000      	16806.7227    	0.05366       
596.0000      	16778.5235    	0.18456       
597.0000      	16750.4188    	0.13241       
598.0000      	16722.4080    	0.03675       
599.0000      	16694.4908    	0.01165       
600.0000      	16666.6667    	0.01178       
601.0000      	16638.9351    	0.06260       
602.0000      	16611.2957    	0.13868       
603.0000      	16583.7479    	0.25019       
604.0000      	16556.2914    	0.01224       
605.0000      	16528.9256    	0.01241       
606.0000      	16501.6502    	0.18117       
607.0000      	16474.4646    	0.06755       
608.0000      	16447.3684    	0.09701       
609.0000      	16420.3612    	0.09665       
610.0000      	16393.4426    	0.20559       
611.0000      	16366.6121    	0.13346       
612.0000      	16339.8693    	0.19809       
613.0000      	16313.2137    	0.19978       
614.0000      	16286.6450    	0.01380       
615.0000      	16260.1626    	0.01393       
616.0000      	16233.7662    	0.01417       
617.0000      	16207.4554    	0.12293       
618.0000      	16181.2298    	0.31245       
619.0000      	16155.0889    	0.08427       
620.0000      	16129.0323    	0.00413       
621.0000      	16103.0596    	0.01532       
622.0000      	16077.1704    	0.01539       
623.0000      	16051.3644    	0.17291       
624.0000      	16025.6410    	0.11338       
625.0000      	16000.0000    	0.11878       
626.0000      	15974.4409    	0.01667       
627.0000      	15948.9633    	0.21379       
628.0000      	15923.5669    	0.16631       
629.0000      	15898.2512    	0.25045       
630.0000      	15873.0159    	0.01776       
631.0000      	15847.8605    	0.22731       
632.0000      	15822.7848    	0.01857       
633.0000      	15797.7883    	0.21602       
634.0000      	15772.8707    	0.25808       
635.0000      	15748.0315    	0.17948       
636.0000      	15723.2704    	0.09596       
637.0000      	15698.5871    	0.02046       
638.0000      	15673.9812    	0.02106       
639.0000      	15649.4523    	0.06287       
640.0000      	15625.0000    	0.18153       
641.0000      	15600.6240    	0.22828       
642.0000      	15576.3240    	0.29917       
643.0000      	15552.0995    	0.05702       
644.0000      	15527.9503    	0.09811       
645.0000      	15503.8760    	0.16101       
646.0000      	15479.8762    	0.33936       
647.0000      	15455.9505    	0.02565       
648.0000      	15432.0988    	0.02634       
649.0000      	15408.3205    	0.02707       
650.0000      	15384.6154    	0.33920       
651.0000      	15360.9831    	0.59331       
652.0000      	15337.4233    	0.29559       
653.0000      	15313.9357    	0.02991       
654.0000      	15290.5199    	0.24234       
655.0000      	15267.1756    	0.13302       
